,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
156,Estacionamento Posto Shell,ChIJW6UgEOgbFgcRiKZmpEt33Vo,-13.0039949,-38.4827471,0,gas_station,"Av. Juracy Magalhães Júnior, 1510 - Chapada Do Rio Vermelho, Salvador"
157,Posto Ipiranga,ChIJ01ck-rcFFgcRBonaXXEXSM4,-12.9927451,-38.4960036,4.7,gas_station,"Engenho Velho de Brotas, Salvador"
158,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS LTDA,ChIJv501PrwbFgcRrrF4F-bIGQ0,-13.0046786,-38.4822513,3,gas_station,"P SHELL - R. Mundo Novo, 1428 - Rio Vermelho, Salvador"
159,Centro Automotivo Check-Up Center ao lado do posto shell,ChIJwZInUscDFgcRXP0Y3VMy9Cs,-13.0126485,-38.4888363,0,gas_station,"Av. Juracy Magalhães Júnior, 102 - Rio Vermelho, Salvador"
161,Posto Petrobras,ChIJ6TuIOqQbFgcRPQzxzwHmQ94,-12.9957634,-38.4775375,0,gas_station,"Av. Juracy Magalhães Júnior, 2575 - Candeal, Salvador"
165,Loja Shell Select - POSTO SHELL - HSA COM VAREJISTA LTDA ME,ChIJx-5J-UcdFgcR5vJBcxyJoHs,-13.01231,-38.48108,5,gas_station,"Rua Oswaldo Cruz, 819 - Rio Vermelho, Salvador"
167,Comercial de Combustível Cidade Jardim,ChIJXYBC2FMDFgcRi5Rvkhhwzag,-12.9957264,-38.4775384,4.3,gas_station,"Av. Juracy Magalhães Júnior, 2575 - Rio Vermelho, Salvador"
168,Posto Shell Albalonga,ChIJ2-aZZAYFFgcRlGzXLr4Bd3Y,-12.9979827,-38.4919129,4,gas_station,"Av. Vasco da Gama, 3883 - Rio Vermelho, Salvador"
169,Posto SR,ChIJA7Pgub0EFgcRZW-QsDSOL5Y,-13.0065563,-38.4929175,5,gas_station,"Av. Vasco da Gama, 4838 - Engenho Velho da Federacao, Salvador"
170,Posto Shell Chaminé,ChIJ_zPEZqwcFgcRVtdNCE8UvF4,-13.0130797,-38.4834318,4,gas_station,"R. Marquês de Monte Santo, 299 - Rio Vermelho, Salvador"
171,P4 Combustíveis,ChIJ7XOy4JAFFgcRJGIWqwjEPEQ,-12.9883465,-38.492747,3.3,gas_station,"Daniel Lisboa, Salvador"
174,Acarajé da nil,ChIJ0SWnq3ADFgcRy2E4Bxm8rnk,-13.0064357,-38.4930717,0,gas_station,"Av. Vasco da Gama, 4838 - Engenho Velho da Federacao, Salvador"
177,São Francisco Comercios de Combustiveis e Lubrificantes Ltda,ChIJQdxgO1oDFgcRIHOOVsOLL0A,-13.0096517,-38.497163,0,gas_station,"ED. Porto Enseada, Travessa Bartholomeu de Gusmão, s/n - Rio Vermelho, Salvador"
178,Mecanico,ChIJr6o6MaocFgcRKtsPphUSlHc,-13.0090619,-38.4806801,5,gas_station,"Av. Vale das Pedrinhas, 600-610 - Nordeste de Amaralina, Salvador"
182,Posto Shell,ChIJbU9AEqwcFgcRL0ol12zzdvE,-13.0121713,-38.4809677,4.1,gas_station,"Rua Oswaldo Cruz, 819 - Rio Vermelho, Salvador"
183,P4 Combustíveis Rio Vermelho,ChIJBy170HYDFgcRh5GdiMFh_Vk,-13.0129095,-38.4891596,3.7,gas_station,"Rua Conselheiro Pedro Luiz, 699-389 - Rio Vermelho, Salvador"
186,Posto Petrobras,ChIJzd2ow8MEFgcRKwKj29T04QU,-13.0065563,-38.4929175,3.9,gas_station,"Av. Vasco da Gama, 4838 - Rio Vermelho, Salvador"
188,Paep Nordeste,ChIJPySiZlcDFgcRHWe0Wa3PSUQ,-13.0078681,-38.4951005,4,gas_station,"Av. Cardeal da Silva - Rio Vermelho, Salvador"
190,Posto Coomasal,ChIJ75WuUqUEFgcRO-m9p4ZE78w,-12.994903,-38.4958848,4.1,gas_station,"Av. Valê do Ogunjá, 1226 - Engenho Velho de Brotas, Salvador"
191,Posto Nota 10,ChIJpY1JWbwEFgcRILXsMhA1MYg,-13.0065563,-38.4929175,4,gas_station,"Av. Vasco da Gama, 4838 - Engenho Velho da Federacao, Salvador"
193,Posto Vale do Ogunjá,ChIJX9UPeboEFgcRg2Iw-ceGPY8,-12.9921692,-38.4957196,4.2,gas_station,"Av. Gen. Graça Lessa, 362 - Engenho Velho de Brotas, Salvador"
195,Posto Gaivota,ChIJUVsxz6kEFgcRPI-YUldVEOg,-12.9954636,-38.4968592,3.1,gas_station,"Av. Vasco da Gama, 399 - Engenho Velho da Federacao, Salvador"
196,Posto De Combustíveis Água Fria,ChIJV9oZI1QDFgcRB_W2qHEOTr4,-13.0089054,-38.489687,0,gas_station,"R. Irará, 22 - Rio Vermelho, Salvador"
234,Shell Select,ChIJ6zix_6UcFgcR1lVjwVrnsd0,-13.0135366,-38.4742841,2.8,convenience_store,"Av. Amaralina, 441 - Amaralina, Salvador"
251,Posto do Horto,ChIJD4fHx6oEFgcR6J1WIhgHAzA,-13.0050739,-38.485752,4.3,convenience_store,"Av. Santa Luzia, 1137 - Rio Vermelho, Salvador"
301,Posto Ipiranga,ChIJFePt_7YEFgcRtUXkl5csrKE,-12.9884025,-38.4926432,4.1,gas_station,"Av. Dom João VI, 160 - Brotas, Salvador"
349,Shell,ChIJNWPIa0QbFgcRmkoqfQffMjA,-12.9960418,-38.4703327,0,gas_station,"Av. Antônio Carlos Magalhães - Pituba, Salvador"
353,Posto Shell - Posto Novo Bairro Sa,ChIJM4a6MEIbFgcRAxJDoTWjJ5s,-12.9954978,-38.4691389,3.6,gas_station,"Av. Ant, Av. Antônio Carlos Magalhães, 1298 - Itaigara, Salvador"
355,Loja Shell Select - POSTO SHELL - PITUBA DERIVADOS DE PETROLEO LTDA,ChIJLVloDHIbFgcRQTz8AXoGqk0,-13.0045865,-38.4536962,0,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
365,RANK PITUBA shell (PFOS),ChIJK7LWx3obFgcRxs8CvhyIGyE,-13.0046806,-38.4538754,3.9,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
368,Posto Petrobras,ChIJJUWYBSgbFgcRVN64OsBVw9U,-13.0005275,-38.4593756,4,gas_station,"Av. Antônio Carlos Magalhães, 3174 - Pituba, Salvador"
371,Posto Shell,ChIJ7fc81mQbFgcRrGIJTh09Aew,-13.0047014,-38.453857,3.8,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
373,Posto Petrobras,ChIJBU95HWYbFgcRJGLCxYf9-qw,-13.00047,-38.45925,3.9,gas_station,"AV ANTONIO C MAGALHAES, S/N - Itaigara, Salvador"
374,Shell Select,ChIJA9rzzEcbFgcRPTT8qeWPydE,-12.9957063,-38.4699439,4.5,gas_station,"Av. Antônio Carlos Magalhães, 1298 - Itaigara, Salvador"
