,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
102,Posto Petrobras,ChIJYxh8upgbFgcRu649ixa3p14,-12.96178,-38.47802,5.0,gas_station,"Av. Barros Reis, 1681 - Pau Miúdo, Salvador"
104,Posto Shell Albalonga,ChIJ2-aZZAYFFgcRlGzXLr4Bd3Y,-12.9979827,-38.4919129,4.0,gas_station,"Av. Vasco da Gama, 3883 - Rio Vermelho, Salvador"
105,Posto Petrobras,ChIJv8FZG-4EFgcRqZeBoMFiWPA,-12.9766241,-38.5162485,4.3,gas_station,"Av. Lafayete Coutinho, 3 - Comercio, Salvador"
107,Posto Ipiranga,ChIJp5kvRWwQFgcRBoUw1SgY6zs,-12.92327,-38.460712,4.2,gas_station,"Av. Cardeal Avelar Brandão Villela, 2505 - Mata Escura, Salvador"
108,Posto Shell - G A Mendes Com De Comb Ltda,ChIJuxv0z6AEFgcR3C3zJpesA6A,-13.0023778,-38.5013229,4.0,gas_station,"Av. Cardeal da Silva, 907 - Federação, Salvador"
109,Posto Ipiranga,ChIJ-ZsN6iQbFgcR4h1i41UUJNc,-12.9732496,-38.4782945,4.1,gas_station,"Av. Antônio Carlos Magalhães, 5863 - Santa Teresa, Salvador"
111,Posto Campinas,ChIJz-taoacRFgcRKt7IT4v2gDE,-12.916803,-38.4656803,3.7,gas_station,"Estrada Campinas de Pirajá, 1 - Pirajá, Salvador"
113,Posto Ipiranga,ChIJW38q1k8FFgcRjPueAcMvQkk,-12.9360866,-38.4916739,3.9,gas_station,"Av. Afrânio Peixoto, 14 A - Lobato, Salvador"
115,Auto Posto Camurupim,ChIJrdnmZ6AcFgcRTcgDVAL9JZ0,-13.0102405,-38.4651548,3.8,gas_station,"Av. Octávio Mangabeira, 429 - Pituba, Salvador"
116,Posto Petrobras,ChIJQQAAiNcEFgcR-reumNJAELM,-12.9665796,-38.4926501,3.9,gas_station,"R. Cônego Pereira, 796 - Matatu, Salvador"
118,Posto Marina de Combustiveis,ChIJ_YFslQAQFgcRph-P_QT5l98,-12.9298246,-38.4811229,3.7,gas_station,"Av. Contôrno - Comercio, Salvador"
119,Posto Shell,ChIJHXCJhSsbFgcR6AJWnDLCeaw,-12.9690146,-38.4248666,4.1,gas_station,"Av. Jorge Amado, 80 - Boca do Rio, Salvador"
191,Loja Shell Select - POSTO SHELL - FT COM VAREJISTA LTDA ME,ChIJtUKHNPkZFgcR6WqisCVgDd4,-12.9571844,-38.3919654,4.5,gas_station,"Av. Octávio Mangabeira, SN - Jaguaribe, Salvador"
200,Posto Ipiranga,ChIJ01ck-rcFFgcRBonaXXEXSM4,-12.9927451,-38.4960036,4.5,gas_station,"Engenho Velho de Brotas, Salvador"
201,Station 4 Fuel Trade,ChIJ-YzslmkQFgcRwlVyel1m_ag,-12.9179776,-38.4602748,4.0,gas_station,"Av. Aliomar Baleeiro, 578 - São Marcos, Salvador"
216,Posto Avenida-24 Horas,ChIJZxQhJ9oaFgcRgcn8N04JRAQ,-12.9650652,-38.47295889999999,3.8,gas_station,"Praça Francisco Manoel, 19 - Cabula, Salvador"
219,Posto do Cristo de Combustiveis,ChIJnU-N9mcDFgcR6Q0IfJMfw4g,-13.0080209,-38.5190272,4.3,gas_station,"Av. Oceânica, 1460 - Ondina, Salvador"
221,Posto SR,ChIJA7Pgub0EFgcRZW-QsDSOL5Y,-13.0065563,-38.4929175,5.0,gas_station,"Av. Vasco da Gama, 4838 - Engenho Velho da Federacao, Salvador"
224,Posto Petrobras,ChIJRzQtwq8bFgcRH4Tf8TWPcbI,-12.9519563,-38.4763278,0.0,gas_station,"Av. Gen. San Martin, 161 - Retiro, Salvador"
228,JSM COMB LTDA,ChIJWbvmxuUaFgcRx44aCm0tUTw,-12.9555244,-38.4688187,4.0,gas_station,"Av. Luís Eduardo Magalhães, 3091 - Cabula, Salvador"
229,Posto Shell - Rc7 Comercio De Combustiveis Ltda,ChIJ66UvwSAFFgcRbEGz9zquToU,-12.9642937,-38.5015198,4.1,gas_station,"R. Eng. João Pimenta Bastos, 260 - Barbalho, Salvador"
230,Posto Ipiranga,ChIJbyw4N88aFgcR3JztDFS6R2M,-12.9560224,-38.476014,3.9,gas_station,"Av. Barros Reis, 2930 - Arraial do Retiro, Salvador"
231,Posto Portoseco,ChIJFXUtPQgRFgcRBuaAifBoTLo,-12.9054938,-38.4552949,3.6,gas_station,rod BR 324 - s/n
233,Posto BR - Armação,ChIJ1Qfw0jUaFgcR13DWqGkAJks,-12.9849968,-38.4347865,4.0,gas_station,"Avenida Otávio Mangabeira, s/n - Armação, Salvador"
236,Posto Shell - Tic Comercio De Combustiveis Ltda,ChIJFRqPGsUaFgcR98zyN-nzztU,-12.9592252,-38.4723221,3.9,gas_station,"Rod BR. 324, Acesso, Norte, 1120 - Cabula, Salvador"
237,Comercial de Combustível Cidade Jardim,ChIJXYBC2FMDFgcRi5Rvkhhwzag,-12.9957264,-38.4775384,4.3,gas_station,"Av. Juracy Magalhães Júnior, 2575 - Rio Vermelho, Salvador"
